Altium Designer Pick and Place Locations
\\Mac\Home\Documents\Sinara\Altium\SPE_router\Project Outputs for DiPho_digital\Pick Place\Pick Place for SPE_router.csv

========================================================================================================================
File Design Information:

Date:       25.03.24
Time:       12:44
Revision:   747f432840e5d3f1f0cd2463f8cec4b9e17cf544
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"R52","TopLayer","RESC1005X40N","2204.724","255.905","90"
"C72","TopLayer","CAPC3216X180N","2952.756","6318.898","180"
"R2","TopLayer","RESC1005X40N","3346.457","5019.685","0"
"LD6_S1","TopLayer","LED_AVAGO_HSME-C110","3444.882","170.276","180"
"LD6_S0","TopLayer","LED_AVAGO_HSME-C110","1870.079","170.276","180"
"LD5_S1","TopLayer","LED_AVAGO_HSME-C110","3228.347","170.276","180"
"LD5_S0","TopLayer","LED_AVAGO_HSME-C110","1653.543","170.276","180"
"LD1","TopLayer","LED_AVAGO_HSME-C110","590.551","6365.158","0"
"F5","TopLayer","FUSR_BOURNS_MF-MSMF_STYLE1(H110)","3031.496","6141.732","90"
"F4","TopLayer","FUSR_BOURNS_MF-MSMF_STYLE1(H110)","2874.016","6141.732","90"
"D19","TopLayer","SODFL2513X80N","3011.811","5905.512","270"
"D18","TopLayer","SODFL2513X80N","2893.701","5905.512","270"
"C78","TopLayer","CAPAE830X1020N","2185.039","2185.039","270"
"W1","TopLayer","SAMTEC_TSW-106-23-L-S","3641.732","5048.425","90"
"J11","TopLayer","SAMTEC_TSW-104-07-L-S-LL","3319.291","1889.764","0"
"J10","TopLayer","SAMTEC_TSW-104-07-L-S-LL","3319.291","1555.118","0"
"C77","TopLayer","CAPAE830X1020N","1633.858","2185.039","270"
"R1","TopLayer","RESC1005X40N","3444.882","4960.630","90"
"IC1","TopLayer","TSSOP-ST8_M","3474.409","5177.165","90"
"D17","TopLayer","WE-TVS_SOT23-5L","3454.724","5826.771","180"
"D16","TopLayer","WE-TVS_SOT23-5L","2450.787","5826.772","0"
"C2","TopLayer","WCAP-ASLU_D5H5.5","3503.937","6122.047","270"
"C1","TopLayer","WCAP-ASLU_D5H5.5","2401.575","6122.047","270"
"R56_S1","TopLayer","RESC1005X40N","2511.811","1771.653","180"
"R56_S0","TopLayer","RESC1005X40N","944.882","1771.653","180"
